bri,mired,watt
71,473,2.77
71,483,2.71
71,493,2.74
71,500,2.79
76,153,2.86
76,163,2.85
76,173,2.8
76,183,2.89
76,193,2.86
76,203,2.89
76,213,2.86
76,223,2.83
76,233,2.87
76,243,2.88
76,253,2.91
76,263,2.86
76,273,2.93
76,283,2.85
76,293,2.91
76,303,2.9
76,313,2.8
76,323,2.91
76,333,2.86
76,343,2.84
76,353,2.84
76,363,2.8
76,373,2.73
76,383,2.78
76,393,2.68
76,403,2.7
76,413,2.68
76,423,2.82
76,433,2.67
76,443,2.72
76,453,2.86
76,463,2.76
76,473,2.86
76,483,2.78
76,493,2.88
76,500,2.82
81,153,2.93
81,163,2.9
81,173,3.0
81,183,2.95
81,193,2.96
81,203,2.94
81,213,3.03
81,223,2.99
81,233,3.0
81,243,2.98
81,253,3.02
81,263,3.02
81,273,3.0
81,283,3.01
81,293,3.02
81,303,3.04
81,313,3.04
81,323,3.03
81,333,2.96
81,343,3.02
81,353,2.95
81,363,3.0
81,373,2.97
81,383,3.02
81,393,3.01
81,403,3.02
81,413,3.06
81,423,3.0
81,433,3.0
81,443,3.03
81,453,3.05
81,463,3.08
81,473,2.9
81,483,3.0
81,493,2.93
81,500,2.94
86,153,3.08
86,163,3.02
86,173,2.97
86,183,3.06
86,193,3.03
86,203,3.01
86,213,3.0
86,223,2.86
86,233,2.87
86,243,2.96
86,253,2.93
86,263,2.91
86,273,2.81
86,283,2.8
86,293,2.81
86,303,2.75
86,313,2.74
86,323,2.66
86,333,2.76
86,343,2.72
86,353,2.77
86,363,2.74
86,373,2.74
86,383,2.82
86,393,2.89
86,403,2.93
86,413,2.87
86,423,2.91
86,433,2.9
86,443,3.03
86,453,2.96
86,463,2.96
86,473,3.07
86,483,3.05
86,493,3.12
86,500,3.04
91,153,3.17
91,163,3.2
91,173,3.26
91,183,3.21
91,193,3.22
91,203,3.22
91,213,3.21
91,223,3.24
91,233,3.19
91,243,3.25
91,253,3.25
91,263,3.19
